Animal Fun Fact,So glad you came back to play The Fun Trivia Game! Deep breath. Here's your first question. What is the name of an adult female horse?
Animal Fun Fact,"stallion, Mare, or Horse?"
Animal Fun Fact,"Sorry, you missed it. It's Mare. Better luck next time. Mare is the name of adlult female horse, the word can also be used for other female equine animals. Question 2 goes like this. Which Animal Has the Largest Breast?"
Animal Fun Fact,"Blue Whale, Elephant, or Zebra"
Animal Fun Fact,"You are a right answer machine! If you're in a joking mood, you can always answer the question with zebra, because it wears a z-bra! Get it? But, if you're looking for a serious answer, the blue whale. Here comes question 3. Are the elephants the only mammal can't jump?"
Animal Fun Fact,"I don't know, No, or Yes?"
Animal Fun Fact,Sure thing! It was No. Only one more question. Sniff. how many noses does a slug have?
Animal Fun Fact,"4, 6, or 2?"
Animal Fun Fact,"Oh shoot, you missed it. I was looking for 2. they got the pair of tentacles located on the top of the head has a small black spot at each tip."
Animal Fun Fact,"I guess that's the end. Now let's see how well you did. Nice work, my friend! You got 1 right this time. Next time, you'll get even more! Can we play again, pretty please?"
Animal Fun Fact,Super-duper! First question is coming your way. Yes or No? The cat snore when its sleep?
Animal Fun Fact,"I don't know, No, or Yes?"
Animal Fun Fact,"Oh shoot, you missed it. The answer I wanted was Yes. Question 2 is coming up. Yes or No? Are Cats, Dogs & Bulls Color Blind?"
Animal Fun Fact,"No, Yes, or I don't know?"
Animal Fun Fact,"You are a right answer machine! Scientifically speaking, they do not have L-Cones which means they cannot see red, but can see blue and gree. Here comes question 3. Is a dolphin a mammal?"
Animal Fun Fact,"I don't know, Yes, or No?"
Animal Fun Fact,Good work! Here comes the last question. What is the longest sleeping mammals?
Animal Fun Fact,"Squirrel, Koala, or Night Monkey?"
Animal Fun Fact,"So close! But you missed it. Actually, it's Koala. Koalas generally sleep for about 16 to 18 hours a day."
Animal Fun Fact,"That was the last one, so our game is over. Here's how you did. You got 2 right. Good work! Next time you'll do even better. You know you want play again. Please?"
Animal Fun Fact,Woo hoo! First question is coming your way. How many brains does an octopus have?
Animal Fun Fact,"One, Three, or Nine?"
