18,Animal Game for Kids - Play and Learn,"sure. please think of an animal, and let me guess it. does it live in a large group with others of its kind?. [yes] does it bark? [no] is its neck long? [no] does it have a trunk? [maybe] does it roar? [i don’t know] is it a predator? [no] what color is it? [brown] can you find it at a farm? [unlikely] hmm... this is a tricky one... do people raise them for their meat? [no] how many legs does it have? [no] please describe it's skin. for example, is it fur, bare skin, needles, shell, or feathers? [fur] does it have hooves? [no] let me think. is it a marsupial? does it carry its baby in its pouch? [no] is it larger than a shoebox? [yes] does it like to eat fish? [no] does it climb trees? [yes] i think i got it... is it a monkey? [yes] yay! good pick! do you want to play more? [no] sure. if you want to guess alexa's animal, try our 'animal detective' game. you may need to enable it in the alexa app. thanks for playing.",contains advertisement
17,Kids Animal Sounds,"welcome to kids animal sounds! inside you will travel to different parts of the world to hear and learn about your favorite animals.our next stop is in asia to visit the tigersay continue to visit the tiger. you can say list animals or stop to quit.. [continue] <short audio> welcome to asia. home of the tiger. <short audio> tigers are the largest cat species.they hunt at night for bears, buffalo, wild cattle, and many other types of animals.tigers have three to four cub in one litter. our next stop is in western europe to visit the bearsay continue to visit the bear.  [continue] <short audio> welcome to western europe! home to the bear. <short audio> bears can run up to twenty five miles an hour.they live in many different habitats depending on the type of bear.those types including the polar, brown, black, sloth, giant panda and spectacled bear. <short audio> our next stop is in africa to visit the lionsay continue to visit the lion. [continue] <short audio> welcome to africa! home to the lion. <short audio> lions can live for ten to fourteen years in wild.the female lion is referred to as a lioness.they are inactive for about twenty hours a day, mostly active at dusk. <short audio> our next stop is in north america to visit the raccoonsay continue to visit the raccoon. [continue] <short audio> welcome to north america! home to the racoon. <short audio> raccoons have 40 teeth and like to snack on plants.they live about 3 years in the wild.raccoon's can weigh up to 20 pounds. <short audio> our next stop is in africa to visit the leopardsay continue to visit the leopard. [list the animals] here is our current list of animals. be sure to check back often.cheetahcougarpenguinsea lionrhinocerosmonkeytigerbearlionraccoonleopardsquirrelzebrabatelephantprairie dogpigdonkeyhorsehippopotamussheepcowwhich animal would you like to visit? for example, say visit the penguin. [visit the donkey] <short audio> welcome to africa! home to the donkey <short audio> <audio-only response> our next stop is in north america to visit the horsesay continue to visit the horse. [continue] <short audio> welcome to north america! home to the horse. <short audio> our next stop is in africa to visit the hippopotamussay continue to visit the hippopotamus. [cancel] thanks for visiting kids animal sounds! if you liked this skill, please give us a 5 star rating ",contains asking for rating
96,Lemonade Stand,"welcome back to lemonade stand!. it's the second day you're selling lemonade. right now it's raining and cold. heads up. later today, there is a very high chance it will be hot and clear. lemonade costs fifteen cents a cup. you have five dollars. so, how many cups do you want? [three cups] you have four dollars and fifty-five cents left. each sign costs you fifty cents. how many signs do you want to buy? [four signs] you have two dollars and fifty-five cents left. how much do you want to charge for a cup of lemonade? [two dollars] woo hoo, the weather changed to sunny and hot. you were able to sell three cups of lemonade at two dollars per cup. mamma mia, after the cost of lemonade and signs, you made three dollars and fifty-five cents. you're on your way to being the jeff bezos of lemonade. you have a total of eight dollars and fifty-five cents. more lemonliciously fun is coming right up. [stop] thanks for playing lemonade stand. please give us five stars in the alexa app so we can create more great features for you. arrivederci, and i hope to see you again soon.",contains asking for rating
174,What if...?,"welcome to the ""what if"" game i will ask you what if... kind of questions, you can reply with a ""yes"" if you agree or ""no"" if you do not agree. you can also say begin, pause, or, you can say stop at any point in time... what can i help you with?. [begin] what if... pokemon is for realbut... all the normal animals are extinctwhat do you think? ""yes"" or ""no""? [yes] honk 40 percent people think just like you!but if you will think about what people might think of you, then what the people would think of? very smart! i know right? what if... pokemon is for realbut... all the normal animals are extinctwhat do you think? ""yes"" or ""no""? [yes] darn 40 percent people think just like you!i think you should ask your friends and see what they think? what if... you never sleep longer than 5 hours a nightbut... you could craft and control your dreams every nightdo you agree? you can say ""yes"" or ""no"". [no]  wah wah 31 percent people think just like you!i know! even i am shocked! what if... you could have any one super hero's powersbut... a super villain will always be looking to get you killedyou can say ""yes"" if you agree or you can say ""no"" if you don't [no] ouch 43 percent people think just like you!but if you will think about what people might think of you, then what the people would think of? very smart! i know right? what if... the sun shines when you are happybut... it rains when you are saddo you agree? you can say ""yes"" or ""no"". [no] yikes 22 percent people think just like you!but i am with you what if... you could make an app developer very happybut... you have to rate 5 starsdo you agree? you can say ""yes"" or ""no"".",contains asking for rating
258,Beewhiz," great! time for a new game! how many players are participating in the spelling bee? . [one]  it's time for a solo spelling throw down! see how many rounds deep you can go, and challenge your friends. the words get harder each round. you can ask for the definition, the language of origin, or an example phrase for any of the words. one spelling tip: enunciate your letters clearly, and don't speak too slowly! have fun! let's begin round number 1. player 1, please spell rare [r. a. r. e.] you spelled the word r. a. r. e. final answer, or try again? [final answer] that answer is correct! let's begin round number 2. player 1, please spell rondo [r. o. n. d. o.] you spelled the word r. o. n. d. o. final answer, or try again? [final answer] that answer is correct! let's begin round number 3. player 1, please spell about [a. b. o. u. t.] you spelled the word a. b. o. u. t. final answer, or try again? [final answer] that answer is correct! let's begin round number 4. player 1, please spell allow [stop] thank you for playing spelling bee. if you enjoyed the game, leaving us a five star review in the alexa store will help us keep improving the game. thank you. ",contains asking for rating
162,Wake Up Clock,this skill requires access to your zip code in order to retrieve your local time. use the alexa app to grant this skill permission to access your zip code.. ,contains data collection
186,Let's Read,"bazinga, welcome back! i bet you have a really cool name, what is your name?. did i hear you say your name is john ? [yes] this game has ten levels, one has an easier word mix and ten has a harder word mix. you get points based on how hard the level is and on how many words you get correct. which level do you want to play? [level one] so you want to play level 1, yes? [yes] that's a cool name, john. you look like you are ready to get started. before we begin would you like me to review the rules? [yes] i am the happy-helpy-helper-help-and-hint-menu. you can say help at anytime to hear these rules again. once the game starts i will spell a word for you. i'll wait for you to tell me the word as fast as you can, but you only have a short amount of time, so don't wait too long. you should try to speak clearly. i'm still learning to listen, so sometimes i don't hear you very well; if that happens, i'll give you a hint to help me listen better. do you need to hear the instructions again? [no] here's the next one. d, o [do] awesome! how about this? t, h, a, n [than] way to go! what do these letters spell? n, o, t [set] not quite right, but i can tell you're getting better.. the correct answer was not can you answer what this word is? i, n, t, o [into] fantastic! how about this? w, i, t, h [with] i'm so proud of your reading skills! can you get this one? w, a, t, e, r [water]",contains data collection
212,guess the animal sound,"welcome to guess the animal sound, 2.0!, please say your name. [john]  hi ,john, you will hear a sound and you must guess the animal. ready ?, <short audio> [cat] keep going, which animal makes this noise [owl] exceptional, which animal makes this noise. [bug] please say the animal name, or answer, to know the animal, or next ,to skip it, or stop . [cricket] too awesome, which animal makes this noise. [next] cool, which animal makes this noise. [stop]  your score is 30, of 270, goodbye, come back soon, john ",contains data collection
262,Mrs. Howard Classroom,"hello first graders. <short audio> welcome to mrs. howard's classroom! before we get started would you tell me your name? [john] it is great to meet you john i hope that you are excited for the new school year. mrs. howard has a message for you. want to hear it? scream first graders rock [first graders rock] <short audio> john, what do you think about your teacher? cool, right? do you want to know more about her? say <dynomite> if not, say goodbye [dynomite] <short audio> here are a few things that you should know about mrs. howard. her favorite color is blue like the ocean. she loves to eat pizza and ice cream <short audio> and. she has a noisy dog, named rover. <short audio> hey! i have an idea, why don't you write down some of your favorite things and share them with her at the open house sounds like a plan? then shout <okie dokie> [okie dokie] say it again. but a little louder this time <okie dokie> [okie dokie] say it again. but a little louder this time <okie dokie>",contains data collection
301,intone riddle,"hi, welcome to intone riddle. please say rule to learn about game rules. you will be asked 5 questions. say start to move ahead.. [start] how many players want to play [one] please say your name [john] john when ever you are ready say ready [ready] john, please add the word answer in front of your response. guess your answer are say pass to move on. now your question is this cable is adjustable. [pass] <audio only response> <short audio> john, the correct answer is amicable. your score is 0. your question it is daring act. even if we remove the first two lettes the meaning remains same. [answer mailbox] <audio only response> <short audio> your answer is not correct john. you want to try again ? [no] <audio only response> <short audio> john, the correct answer is adventure. your score is 0. your question adaptable tile.. [answer reptile] <audio only response> <short audio> your answer is not correct john. you want to try again ? [no] <audio only response> <short audio> john, the correct answer is versatile. your score is 0. your question i am tall when i am young, and i am short when i am old, what am i?. [pass] <audio only response> <short audio> john, the correct answer is candle. your score is 0. your question rate of enthusiasm. [answer absorption] <audio only response> <short audio> your answer is not correct john. you want to try again ? [no] <audio only response> <short audio> john, the correct answer is exhilarate. your score is 0. your question the juntion that connects two clauses or sentences. [answer conjunction] well done this round completed john.your answer is correct. your score is 1. do you want to go for another round say yes or no. [no]",contains data collection
